City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Behshahr,36.69,53.55,82.4,61,75,9.17,IR,1596549401
Boende,-0.22,20.87,84.76,60,67,5.17,CD,1596549402
Moyamba,8.17,-12.43,81.19,68,92,6.31,SL,1596549402
Kahului,20.89,-156.47,75.2,69,90,11.41,US,1596549382
Boden,65.83,21.69,64.4,82,40,8.05,SE,1596549403
Kathu,7.92,98.33,87.01,83,40,3.71,TH,1596549403
Nikolskoye,59.7,30.79,71.01,82,20,4.47,RU,1596549349
Acapulco de Juárez,16.86,-99.89,82.4,83,40,4.7,MX,1596549321
Palmer,42.16,-72.33,78.01,88,90,3.36,US,1596549404
Deer Lake,49.17,-57.43,60.8,93,90,9.17,CA,1596549406
Dhidhdhoo,6.88,73.1,82.67,81,100,17.43,MV,1596549124
Hay River,60.82,-115.8,60.8,67,75,14.99,CA,1596549407
Kabo,7.7,18.63,81.12,81,11,4.92,CF,1596549407
Piteå,65.32,21.48,64.4,82,40,8.05,SE,1596549408
Carballo,43.21,-8.69,84.0,69,20,10.29,ES,1596549199
Lázaro Cárdenas,17.96,-102.2,80.92,81,98,2.64,MX,1596549278
Saskylakh,71.92,114.08,69.46,50,8,6.91,RU,1596549412
Semey,50.41,80.23,86.0,35,2,13.42,KZ,1596549413
Buraidah,26.33,43.98,107.6,17,0,16.11,SA,1596549413
Pemangkat,1.17,108.97,81.55,80,100,4.81,ID,1596549414
Millinocket,45.66,-68.71,71.6,73,1,3.36,US,1596549301
Nicoya,10.15,-85.45,77.0,94,40,3.36,CR,1596549416
Mahrīz,31.59,54.43,102.2,14,20,4.7,IR,1596549417
Aldan,58.6,125.39,56.32,65,100,5.7,RU,1596549417
Lumberton,34.62,-79.01,75.0,88,90,6.93,US,1596549418
Johnson City,36.31,-82.35,70.0,88,90,4.25,US,1596549300
Spartanburg,34.95,-81.93,73.99,88,1,4.7,US,1596549299
Aklavik,68.22,-135.01,48.2,100,90,10.29,CA,1596549419
Hasaki,35.73,140.83,75.99,94,20,4.7,JP,1596549420
Xingtai,37.06,114.49,79.92,72,100,4.99,CN,1596549175
Sarny,51.34,26.6,78.31,54,93,14.27,UA,1596549420
Tommot,58.96,126.29,57.63,74,99,2.21,RU,1596549421
Bagdarin,54.43,113.6,54.81,91,51,3.58,RU,1596549333
Ørnes,66.87,13.71,60.8,72,40,14.99,NO,1596549319
Ponta do Sol,32.67,-17.1,82.4,54,20,19.46,PT,1596549422
Bathsheba,13.22,-59.52,86.0,70,40,17.22,BB,1596549422
Neya,58.3,43.87,74.46,52,1,5.26,RU,1596549423
Valleyview,55.07,-117.29,56.43,64,0,11.03,CA,1596549423
Paamiut,61.99,-49.67,44.38,90,91,11.43,GL,1596549367
Kulhudhuffushi,6.62,73.07,82.6,82,100,17.07,MV,1596549424
Iranshahr,27.2,60.68,113.0,8,11,13.87,IR,1596549424
Tilichiki,60.47,166.1,46.24,95,0,1.61,RU,1596549332
Boguchany,58.38,97.45,61.86,66,100,4.59,RU,1596549425
Iqaluit,63.75,-68.51,53.6,87,75,2.24,CA,1596549101
Scottsbluff,41.87,-103.67,64.99,87,1,9.17,US,1596549427
Enshi,30.3,109.48,80.01,74,99,2.64,CN,1596549348
Najrān,17.49,44.13,98.6,30,75,9.17,SA,1596549340
Nishihara,26.18,127.76,84.2,83,75,13.87,JP,1596549349
Kishanganj,26.12,87.93,93.24,60,90,9.15,IN,1596549181
Butaritari,3.07,172.79,83.07,74,66,16.37,KI,1596549347
Erenhot,43.65,111.98,79.81,32,56,5.95,CN,1596549429
California City,35.13,-117.99,78.8,24,1,13.87,US,1596549430
Fallon,39.47,-118.78,66.99,34,1,6.08,US,1596549352
Aloleng,16.13,119.78,83.79,76,100,3.58,PH,1596549430
Korla,41.76,86.15,90.91,17,0,2.28,CN,1596549431
Balkhash,46.84,74.98,80.28,36,0,3.78,KZ,1596549431
Clarksburg,39.28,-80.34,75.99,73,75,5.82,US,1596549432
Uni,57.75,51.49,66.99,68,100,4.83,RU,1596549432
Three Hills,51.7,-113.27,54.0,53,61,4.92,CA,1596549432
Ossora,59.24,163.07,49.51,79,8,1.7,RU,1596549433
Xinmin,41.99,122.83,78.8,94,75,8.95,CN,1596549433
Taikang,46.83,124.42,70.36,73,95,3.69,CN,1596549433
Klyuchi,52.27,79.17,76.03,54,0,15.28,RU,1596549435
Mehamn,71.04,27.85,55.4,82,77,5.82,NO,1596549061
Kazachinskoye,57.7,93.28,61.66,77,40,4.12,RU,1596549435
Luorong,24.41,109.61,81.09,82,0,2.57,CN,1596549363
Podyuga,61.09,40.86,69.6,81,90,5.46,RU,1596549436
Plouzané,48.38,-4.62,69.8,52,0,11.41,FR,1596549436
Fergus Falls,46.28,-96.08,63.0,72,1,6.93,US,1596549437
Los Llanos de Aridane,28.66,-17.92,78.8,69,75,13.87,ES,1596549305
Sistranda,63.73,8.83,59.0,82,75,10.29,NO,1596549319
Imeni Poliny Osipenko,52.42,136.49,52.05,94,100,11.16,RU,1596549438
Kudahuvadhoo,2.67,72.89,83.79,73,44,10.63,MV,1596549439
Balad,34.02,44.15,110.66,9,0,19.86,IQ,1596549439
Sukhumi,43.0,41.02,79.88,59,0,8.84,GE,1596549439
Klaksvík,62.23,-6.59,51.8,100,100,12.75,FO,1596549440
Lagos,6.58,3.75,86.0,66,75,8.05,NG,1596549367
Bac Lieu,9.29,105.72,77.52,86,99,8.86,VN,1596549441
Clyde River,70.47,-68.59,42.8,93,90,6.93,CA,1596549337
Whitehorse,60.72,-135.05,48.2,76,75,11.41,CA,1596549443
Khatanga,71.97,102.5,69.82,56,100,4.76,RU,1596549444
Moussoro,13.64,16.49,89.13,50,94,11.59,TD,1596549444
Assiut,27.18,31.18,105.8,24,0,11.41,EG,1596549444
Negombo,7.21,79.84,82.4,83,75,10.29,LK,1596549420
Tuktoyaktuk,69.45,-133.04,48.2,100,90,8.05,CA,1596549287
Tevriz,57.51,72.4,80.89,68,54,4.23,RU,1596549334
Den Helder,52.96,4.76,66.99,55,0,9.17,NL,1596549446
Khairpur Nathan Shah,27.09,67.73,109.92,19,100,2.73,PK,1596549446
Upernavik,72.79,-56.15,41.05,69,18,3.13,GL,1596549322
Chegdomyn,51.12,133.02,55.8,96,100,2.1,RU,1596549336
Bonthe,7.53,-12.51,79.7,69,99,11.81,SL,1596549449
Umeå,63.83,20.26,61.0,93,75,5.82,SE,1596549449
Amapá,1.0,-52.0,87.22,55,7,4.21,BR,1596549309
Ankara,39.92,32.85,89.6,21,0,6.93,TR,1596549450
Kuantan,3.81,103.33,84.2,83,20,1.12,MY,1596549450
Ōarai,36.32,140.6,77.0,83,20,4.7,JP,1596549451
Senno,59.53,33.92,71.04,69,100,5.91,RU,1596549451
Calamar,10.25,-74.91,84.2,79,75,5.82,CO,1596549452
Kelvington,52.17,-103.53,58.91,87,100,9.4,CA,1596549452
Severo-Kuril'sk,50.68,156.12,51.84,84,92,4.36,RU,1596549299
Codrington,-38.27,141.97,46.22,75,42,13.73,AU,1596549453
Ushtobe,45.25,77.98,85.05,21,0,9.24,KZ,1596549453
Port Said,31.26,32.28,89.6,49,0,14.99,EG,1596549454
Srednekolymsk,67.45,153.68,49.15,73,100,4.76,RU,1596549372
Lompoc,34.64,-120.46,55.4,93,20,5.82,US,1596549355
Linping,30.42,120.3,84.0,94,75,8.95,CN,1596549455
Yellowknife,62.46,-114.35,64.0,77,20,11.41,CA,1596549080
Soc Trang,9.6,105.98,76.39,91,100,4.38,VN,1596549336
Vigrestad,58.57,5.7,62.01,73,45,4.0,NO,1596549456
Guerrero Negro,27.98,-114.06,69.57,80,7,5.48,MX,1596549281
Half Moon Bay,37.46,-122.43,59.0,100,90,6.93,US,1596549457
Ust-Kuyga,70.02,135.6,47.32,78,0,4.99,RU,1596549457
Kamenka,51.32,42.77,78.01,40,0,8.01,RU,1596549457
Saint Anthony,45.02,-93.22,64.4,59,1,5.82,US,1596549458
Garoowe,8.41,48.48,91.94,29,11,28.9,SO,1596549458
Kapaa,22.08,-159.32,78.8,74,75,11.41,US,1596549458
Tura,25.52,90.22,79.07,91,100,6.13,IN,1596549293
San Vicente,-26.62,-54.13,73.2,48,0,5.73,AR,1596549459
High Level,58.52,-117.14,55.4,93,75,4.7,CA,1596549460
Sapouy,11.55,-1.77,82.76,65,84,10.78,BF,1596549460
Ojo Caliente,22.57,-102.25,60.8,82,75,2.39,MX,1596549461
São Filipe,14.9,-24.5,77.13,78,9,6.89,CV,1596549318
Yagodnoye,62.55,149.67,47.01,77,50,5.57,RU,1596549322
Vanderhoof,54.02,-124.02,50.31,76,0,2.98,CA,1596549462
Bodaybo,57.85,114.19,60.87,82,0,3.38,RU,1596549462
Sakakah,29.97,40.21,98.6,13,0,20.8,SA,1596549462
Spassk-Ryazanskiy,54.41,40.38,72.86,53,100,1.5,RU,1596549464
Shafranovo,53.97,54.77,64.98,96,100,14.09,RU,1596549465
Raja,8.46,25.68,80.8,80,59,5.95,SS,1596549465
Onokhoy,51.93,108.07,66.2,82,20,4.47,RU,1596549465
Annau,37.89,58.52,91.4,38,75,16.11,TM,1596549466
Idenao,4.25,9.0,80.6,83,75,8.05,CM,1596549466
Genhe,50.78,121.52,58.46,94,100,3.87,CN,1596549345
Fukuechō,32.69,128.84,82.74,85,99,16.08,JP,1596549085
Ust-Nera,64.57,143.2,51.42,67,1,4.14,RU,1596549467
Khandyga,62.67,135.6,59.29,46,0,2.37,RU,1596549385
Portree,57.41,-6.19,57.99,93,100,21.99,GB,1596549468
Ketchikan,55.34,-131.65,57.2,93,90,10.29,US,1596549375
Sinor,21.92,73.33,82.76,71,54,12.68,IN,1596549469
Bellinzona,46.19,9.02,80.6,26,40,8.05,CH,1596549469
Golakganj,26.1,89.83,85.98,78,100,10.22,IN,1596549469
Fort Saint James,54.43,-124.25,48.74,76,0,2.75,CA,1596549470
Robertsport,6.75,-11.37,78.12,68,100,9.73,LR,1596549470
Puerto Ayora,-0.74,-90.35,66.99,99,100,1.99,EC,1596549277
St. George's,12.06,-61.75,86.0,74,40,9.17,GD,1596549183
Bokoro,12.38,17.06,85.95,62,87,10.18,TD,1596549471
Tuy Hoa,13.08,109.3,82.87,76,62,4.38,VN,1596549196
Samaná,19.21,-69.34,82.4,83,20,4.7,DO,1596549474
Moose Factory,51.26,-80.61,48.2,93,90,8.05,CA,1596549474
Basoko,1.24,23.62,81.95,68,58,3.56,CD,1596549474
Aykhal,66.0,111.5,69.8,40,55,4.47,RU,1596549475
Bilibino,68.05,166.44,43.92,87,100,4.14,RU,1596549074
Eišiškės,54.17,25.0,70.0,88,100,3.36,LT,1596549476
Jalu,29.03,21.55,103.82,15,0,11.41,LY,1596549093
Barrow,71.29,-156.79,36.36,89,100,6.35,US,1596549304
Morant Bay,17.88,-76.41,86.0,62,20,8.05,JM,1596549477
Tottori-shi,35.5,134.23,77.27,76,28,4.65,JP,1596549478
Bakchar,57.02,82.07,69.19,69,0,6.22,RU,1596549334
