City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Humaitá,-7.51,-63.02,91.17,33,34,2.95,BR,1596549587
Ende,-8.84,121.66,72.41,79,22,1.72,ID,1596549588
Necochea,-38.55,-58.74,66.0,80,78,8.01,AR,1596549588
Bluff,-46.6,168.33,48.65,87,100,6.73,NZ,1596549589
Maputo,-25.97,32.59,87.8,23,0,9.17,MZ,1596549590
Laguna,38.42,-121.42,62.01,82,1,5.82,US,1596549590
Niterói,-22.88,-43.1,69.8,82,20,5.82,BR,1596549591
Gamba,-2.65,10.0,76.48,70,9,11.63,GA,1596549591
Soe,-9.86,124.28,58.78,100,44,4.54,ID,1596549591
Pitimbu,-7.47,-34.81,80.6,57,40,17.22,BR,1596549592
Westport,41.14,-73.36,79.0,88,40,8.05,US,1596549325
Dunedin,-45.87,170.5,51.01,85,88,2.82,NZ,1596549592
Omboué,-1.57,9.26,78.94,66,2,11.45,GA,1596549593
Katobu,-4.94,122.53,73.98,88,46,4.97,ID,1596549593
Lima,-12.04,-77.03,60.8,77,90,5.82,PE,1596549593
Coquimbo,-29.95,-71.34,50.0,100,90,3.36,CL,1596549594
Ballina,-28.87,153.57,60.01,81,0,3.36,AU,1596549594
Mahébourg,-20.41,57.7,69.8,64,75,14.99,MU,1596549595
Simpang,-1.27,104.08,75.63,92,100,1.72,ID,1596549595
Beloha,-25.17,45.05,77.74,28,0,3.47,MG,1596549595
Mendi,-6.18,143.65,56.25,100,91,1.07,PG,1596549596
Sungai Raya,0.7,108.9,80.82,85,100,3.44,ID,1596549596
Arraial do Cabo,-22.97,-42.03,73.4,69,20,17.22,BR,1596549597
Avarua,-21.21,-159.78,69.8,88,97,10.29,CK,1596549597
Te Anau,-45.42,167.72,45.57,89,100,2.46,NZ,1596549597
Santa Rosa,14.31,121.11,82.99,83,100,5.82,PH,1596549598
Antofagasta,-23.65,-70.4,59.0,67,90,6.93,CL,1596549598
Plettenberg Bay,-34.05,23.37,52.68,77,100,15.5,ZA,1596549599
Faanui,-16.48,-151.75,77.54,73,51,11.9,PF,1596549599
Tadine,-21.55,167.88,65.89,68,80,4.41,NC,1596549599
Arrondissement de Saint-Denis,48.92,2.33,78.01,33,0,4.7,FR,1596549600
Lebu,-37.62,-73.65,52.32,92,55,4.5,CL,1596549600
Angoche,-16.23,39.91,75.78,66,2,9.42,MZ,1596549600
Rumonge,-3.97,29.44,81.79,40,24,4.16,BI,1596549601
